Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
1,MDS_Diagnostic_criteria,11,dx_exclusion_4_lower_limbs_only_3y,4. Parkinsonian features restricted to the lower limbs for more than 3 y,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,12,dx_exclusion_5_drug_induced_parkinsonism,5. Treatment with a dopamine receptor blocker or a dopamine-depleting agent in a dose and time-course consistent with drug-induced parkinsonism,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,13,dx_exclusion_6_no_drug_response,6. Absence of observable response to high-dose levodopa despite at least moderate severity of disease,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,14,dx_exclusion_7_cortical_signs,"7. Unequivocal cortical sensory loss (i.e., graphesthesia, stereognosis with intact primary sensory modalities), clear limb ideomotor apraxia, or progressive aphasia",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,15,dx_exclusion_8_negative_neuroimaging,8. Normal functional neuroimaging of the presynaptic dopaminergic system,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,16,dx_exclusion_9_other_parkinsonism,"9. Documentation of an alternative condition known to produce parkinsonism and plausibly connected to the patient’s symptoms, or, the expert evaluating physician, based on the full diagnostic assessment feels that an alternative syndrome is more likely than PD",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,17,dx_redflag_01_gait_impairment_5y,1. Rapid progression of gait impairment requiring regular use of wheelchair within 5 y of onset,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,18,dx_redflag_02_progression_absent,2. A complete absence of progression of motor symptoms or signs over 5 or more y unless stability is related to treatment,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,19,dx_redflag_03_severe_bulbar_dysfunction_5y,"3. Early bulbar dysfunction: severe dysphonia or dysarthria (speech unintelligible most of the time) or severe dysphagia (requiring soft food, NG tube, or gastrostomy feeding) within first 5 y",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,20,dx_redflag_04_inspiratory_respiratory_dysfunction,4. Inspiratory respiratory dysfunction: either diurnal or nocturnal inspiratory stridor or frequent inspiratory sighs,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,21,dx_redflag_05_severe_autonomic_failure_5y,"5. Severe autonomic failure in the first 5 y of disease. This can include:
a) Orthostatic hypotension - orthostatic decrease of blood pressure within 3 min of standing by at least 30 mm Hg systolic or 15 mm Hg diastolic, in the absence of dehydration, medication, or other diseases that could plausibly explain autonomic dysfunction, or
b) Severe urinary retention or urinary incontinence in the first 5 y of disease (excluding long-standing or small amount stress incontinence in women), that is not simply functional incontinence. In men, urinary retention must not be attributable to prostate disease, and must be associated with erectile dysfunction",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,22,dx_redflag_06_recurrent_falls_3y,6. Recurrent (>1/y) falls because of impaired balance within 3 y of onset,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,23,dx_redflag_07_dysproportionate_dystonia,7. Disproportionate anterocollis (dystonic) or contractures of hand or feet within the first 10 y,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,24,dx_redflag_08_no_nonmotor_symptoms_5y,"8. Absence of any of the common nonmotor features of disease despite 5 y disease duration. These include sleep dysfunction (sleep-maintenance insomnia, excessive daytime somnolence, symptoms of REM sleep behavior disorder), autonomic dysfunction (constipation, daytime urinary urgency, symptomatic orthostasis), hyposmia, or psychiatric dysfunction (depression, anxiety, or hallucinations)",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,25,dx_redflag_09_unexplained_pyramidal_tract_signs,"9. Otherwise unexplained pyramidal tract signs, defined as pyramidal weakness or clear pathologic hyperreflexia (excluding mild reflex asymmetry and isolated extensor plantar response)",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,26,dx_redflag_10_symmetric_parkinsonism,"10. Bilateral symmetric parkinsonism. The patient or caregiver reports bilateral symptom onset with no side predominance, and no side predominance is observed on objective examination",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,27,dx_criteria_application,Apply the criteria,string,nullable,"[""Clinically established PD"", ""Probable PD"", ""Other"", ""Unknown""]",
1,PD History,1,age_at_first_motor_symptom,Age at first motor symptom,numeric,nullable,(y>=0) & (y<=120),
1,PD History,2,first_motor_symptom,"First motor symptom. Pick all that apply and separate with ""|"". (e.g, 1, 1|3 or 2|3|5)",string,nullable,"{1:""tremor"", 2:""micrographia"", 3:""stiffness/frozen shoulder"", 4:""Impaired manual dexterity"", 5:""Gait disorder"", 6:""General slowing up"", 7:""Other""}",
1,PD History,19,living_status_at_censoring,"Event is death. 0=right censored (not yet) 1= event at the ""age"",  2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,20,age_at_living_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,21,hy3_status_at_censoring,"Event is reaching hy 3 or higher. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,22,age_at_hy3_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,23,dyskinesia_status_at_censoring,"Event is dyskinesia occurance. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,24,age_at_dyskinesia_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,25,motor_fluctuation_status_at_censoring,"Event is motor fluctuation occurance. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,26,age_at_motor_fluctuation_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,27,levodopa_status_at_censoring,"Event is initiation of levodopa. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,28,age_at_levodopa_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,27,agonist_status_at_censoring,"Event is initiation of agonist. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,28,age_at_agonist_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,29,pdmed_status_at_censoring,"Event is initiation of any PD medication. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",
1,PD History,30,age_at_pdmed_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),
1,PD History,27,dementia_status_at_censoring,"Event is the first dimentia diagnosis (not symptom). 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)  ",,,,
1,PD History,28,age_at_dementia_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",,,,
1,PD History,19,age_brain_surgery,Age at brain surgery,numeric,nullable,(y>=0) & (y<=120),
1,PD History,20,brain_surgery_type,Type of brain surgery,string,nullable,"[""DBS-STN"", ""DBS-GP"", ""DBS-VIM"", ""DBS-Other"", ""DBS-Unknown"", ""Pallidotomy (RF/RS)"", ""UltraSound VIM"", ""UltraSound STN"",  ""UltraSound GP"", ""Other""]",
